FID,subcol,notes,perim,area,pa_ratio,SUM_AREA,MEAN,MEAN_1,MEAN_12,MEAN_12_13,NEAR_RANK,NEAR_RANK_1,MEAN_12_13_14
80,m7, ,137.4450073,216.0570068,0.6361500,,269712.754464285740000,33.553571428571431,221.969332286289760,7.408480933734349,,,-17.940569196428573
81,m6, ,48.8428993,51.9385986,0.9403970,,273708.667613636350000,32.363636363636367,239.390142267400560,7.824531685222279,,,-19.097922585227273
82,m31, ,159.9459991,419.9360046,0.3808820,,263344.576093750020000,19.120000000000001,233.063146514892570,11.447315261363983,,,-16.354648437500000
83,m31a, ,26.3792992,21.8435001,1.2076499,,259751.830729166660000,12.166666666666666,228.091217041015620,12.195230801900228,,,-12.240722656250000
84,m30, ,65.9262009,145.0180054,0.4546080,79.216300964355469,257343.259457236850000,12.710526315789474,221.035888671875000,12.063564852664346,,,-9.685726768092104
85,m32, ,121.8669968,252.9179993,0.4818460,15.634699821472168,256840.917902542370000,11.406779661016950,221.516752857272910,12.368854829820537,,,-8.573920815677965
86,m37, ,65.9134979,47.3487015,1.3920900,,244026.885817307690000,0.153846153846154,237.385273860051090,19.508055613591122,,,-39.290824890136719
87,g54, ,40.5247993,28.6266003,1.4156300,53.443862411193550,269604.239583333310000,34.333333333333336,217.455652872721340,7.241980950037639,,,0.430013020833333
88,t16,"merged, counted this partial",155.1230011,193.2610016,0.8026630,,286191.734375000000000,28.229166666666668,279.749734878540040,14.406606892744700,,,14.399475097656250
89,l13,"merged, counted this partial",352.2730103,473.1489868,0.7445280,1425.276886627078100,254004.049894957980000,31.529411764705884,181.925877290613500,10.638511184884720,,,-24.270819655987395
90,n22,"merged, counted this partial",25.7742996,25.0207996,1.0301100,,257362.214285714290000,0.000000000000000,237.877251761300220,15.679753439767021,,1,20.121651785714285
91,n12,"merged, counted this partial",46.4869003,65.4536972,0.7102260,50.009498596191406,249988.271875000010000,7.800000000000000,211.111329142252600,13.503287378946940,1,1,1.086914062500000
92,s38,"merged, counted this partial",78.8219986,113.8320007,0.6924440,1523.500030517578100,279095.018518518540000,39.000000000000000,244.688463564272270,6.483624687901250,,1,36.872468171296298
93,p40-1,"p40 split, counted this part",56.6507988,70.1613998,0.8074350,,241612.053453947360000,0.421052631578947,206.065669812654190,15.935476202713815,,,40.749023437500000
94,c30-31,"merged since photo, counted together",270.5039978,616.6110229,0.4386950,6.639840126037598,278853.199544270810000,27.576388888888889,257.892861154344360,11.386523978577721,,1,50.772644042968750
95,l23a, ,11.2151003,5.2275500,2.1453800,,240041.171875000000000,2.000000000000000,205.779602050781250,15.364790916442871,,,-32.962890625000000
96,s3, ,5.5265999,1.7925900,3.0830300,,291169.562500000000000,32.000000000000000,283.679870605468750,14.415660858154297,1,1,64.410156250000000
